method,path,normalized_path,page,title,sdk_module_guess,src_path_match,test_path_match,src_evidence,test_evidence,audit_status,notes
GET,/v1/bdbs/{bdb_uid}/sync_source_stats/{uid},/v1/bdbs/{}/sync_source_stats/{},bdbs/sync_source_stats,Database syncer source stats requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{uid}/syncer_state,/v1/bdbs/{}/syncer_state,bdbs/syncer_state,Syncer state requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{uid}/syncer_state/crdt,/v1/bdbs/{}/syncer_state/crdt,bdbs/syncer_state/crdt,CRDT syncer state requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{uid}/syncer_state/replica,/v1/bdbs/{}/syncer_state/replica,bdbs/syncer_state/replica,Replica syncer state requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
POST,/v1/bdbs/{uid}/upgrade,/v1/bdbs/{}/upgrade,bdbs/upgrade,Database upgrade requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/boostrap,/v1/boostrap,bootstrap,Bootstrap requests,bootstrap,false,false,,,docs_only,
POST,/v1/bootstrap/{action},/v1/bootstrap/{},bootstrap,Bootstrap requests,bootstrap,true,false,src/bootstrap.rs,,implemented_no_test_path_evidence,
POST,/v1/bootstrap/validate/{action},/v1/bootstrap/validate/{},bootstrap/validate,Bootstrap validation requests,,true,false,src/bootstrap.rs,,implemented_no_test_path_evidence,
GET,/v1/cluster,/v1/cluster,cluster,Cluster requests,cluster,true,true,src/client.rs;src/cluster.rs;src/lib_tests.rs;src/testing/server.rs,tests/cluster_info_test.rs;tests/cluster_tests.rs;tests/common/fixtures.rs;tests/tower_integration_tests.rs;tests/tower_middleware_tests.rs,implemented_and_tested,
PUT,/v1/cluster,/v1/cluster,cluster,Cluster requests,cluster,true,true,src/client.rs;src/cluster.rs;src/lib_tests.rs;src/testing/server.rs,tests/cluster_info_test.rs;tests/cluster_tests.rs;tests/common/fixtures.rs;tests/tower_integration_tests.rs;tests/tower_middleware_tests.rs,implemented_and_tested,
GET,/v1/cluster/actions,/v1/cluster/actions,cluster/actions,Cluster actions requests,,true,true,src/cluster.rs,tests/cluster_tests.rs,implemented_and_tested,
GET,/v1/cluster/actions/{action},/v1/cluster/actions/{},cluster/actions,Cluster actions requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
POST,/v1/cluster/actions/{action},/v1/cluster/actions/{},cluster/actions,Cluster actions requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
DELETE,/v1/cluster/actions/{action},/v1/cluster/actions/{},cluster/actions,Cluster actions requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
GET,/v1/cluster/alerts,/v1/cluster/alerts,cluster/alerts,Cluster alerts requests,,true,true,src/alerts.rs;src/testing/server.rs,tests/alerts_tests.rs,implemented_and_tested,
GET,/v1/cluster/alerts/{alert},/v1/cluster/alerts/{},cluster/alerts,Cluster alerts requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
GET,/v1/cluster/auditing/db_conns,/v1/cluster/auditing/db_conns,cluster/auditing-db-conns,Auditing database connections requests,,true,true,src/cluster.rs,tests/cluster_tests.rs,implemented_and_tested,
PUT,/v1/cluster/auditing/db_conns,/v1/cluster/auditing/db_conns,cluster/auditing-db-conns,Auditing database connections requests,,true,true,src/cluster.rs,tests/cluster_tests.rs,implemented_and_tested,
