page,title,method,path,description,source,source_type,sdk_module_guess,repo_module_exists,status,notes
metrics_config,Metrics configuration requests,GET,/v1/metrics_config,Get the cluster's metrics configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/metrics_config/,official_docs,metrics_config,true,unreviewed,
metrics_config,Metrics configuration requests,PUT,/v1/metrics_config,Update the cluster's metrics configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/metrics_config/,official_docs,metrics_config,true,unreviewed,
migrations,Migrations requests,GET,/v1/migrations/<uid>,Get database migration status,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/migrations/,official_docs,migrations,true,unreviewed,
modules,Modules requests,GET,/v1/modules,List available modules,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/modules/,official_docs,modules,true,unreviewed,
modules,Modules requests,GET,/v1/modules/{uid},Get a specific module,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/modules/,official_docs,modules,true,unreviewed,
modules/config,Configure module requests,POST,/v1/modules/config/bdb/{uid},Configure module,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/modules/config/,official_docs,,,unreviewed,
modules/user-defined,User-defined module requests,GET,/v2/local/modules/user-defined/artifacts,List custom module artifacts on a node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/modules/user-defined/,official_docs,,,unreviewed,
modules/user-defined,User-defined module requests,POST,/v2/modules/user-defined,Upload custom module configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/modules/user-defined/,official_docs,,,unreviewed,
modules/user-defined,User-defined module requests,POST,/v2/local/modules/user-defined/artifacts,Upload a custom module artifact to a node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/modules/user-defined/,official_docs,,,unreviewed,
modules/user-defined,User-defined module requests,DELETE,/v2/modules/user-defined/<uid>,Delete a custom module configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/modules/user-defined/,official_docs,,,unreviewed,
modules/user-defined,User-defined module requests,DELETE,/v2/local/modules/user-defined/artifacts/<module_name>/<version>,Delete a custom module artifact from a node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/modules/user-defined/,official_docs,,,unreviewed,
node_master_healthcheck,Node master healthcheck requests,GET,/v1/local/node/master_healthcheck,Checks a node's connection to the primary node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/node_master_healthcheck/,official_docs,local,true,unreviewed,
nodes,Nodes requests,GET,/v1/nodes,Get all cluster nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/,official_docs,nodes,true,unreviewed,
nodes,Nodes requests,GET,/v1/nodes/{uid},Get a single cluster node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/,official_docs,nodes,true,unreviewed,
nodes,Nodes requests,PUT,/v1/nodes/{uid},Update a node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/,official_docs,nodes,true,unreviewed,
nodes/actions,Node actions requests,GET,/v1/nodes/actions,Get status of all actions on all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/actions/,official_docs,,,unreviewed,
nodes/actions,Node actions requests,GET,/v1/nodes/{node_uid}/actions,Get status of all actions on a specific node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/actions/,official_docs,,,unreviewed,
nodes/actions,Node actions requests,GET,/v1/nodes/{node_uid}/actions/{action},Get status of an action on a specific node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/actions/,official_docs,,,unreviewed,
nodes/actions,Node actions requests,POST,/v1/nodes/{node_uid}/actions/{action},Initiate node action,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/actions/,official_docs,,,unreviewed,
nodes/actions,Node actions requests,DELETE,/v1/nodes/{node_uid}/actions/{action},Cancel action or remove action status,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/actions/,official_docs,,,unreviewed,
nodes/alerts,Node alerts requests,GET,/v1/nodes/alerts,Get all alert states for all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/alerts/,official_docs,,,unreviewed,
nodes/alerts,Node alerts requests,GET,/v1/nodes/alerts/{uid},Get all alert states for a node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/alerts/,official_docs,,,unreviewed,
nodes/alerts,Node alerts requests,GET,/v1/nodes/alerts/{uid}/{alert},Get node alert state,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/alerts/,official_docs,,,unreviewed,
nodes/check,Check node requests,GET,/v1/nodes/check/{uid},Runs checks on a cluster node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/check/,official_docs,,,unreviewed,
nodes/debuginfo,Node debug info requests,GET,/v1/nodes/debuginfo,Get debug info from all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/debuginfo/,official_docs,,,unreviewed,
nodes/debuginfo,Node debug info requests,GET,/v1/nodes/{node_uid}/debuginfo,Get debug info from a specific node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/debuginfo/,official_docs,,,unreviewed,
